Gene ID,Genomic Location (Gene),Product Description,Computed GO Component IDs,Computed GO Components,Computed GO Function IDs,Computed GO Functions,Computed GO Process IDs,Computed GO Processes,Curated GO Component IDs,Curated GO Components,Curated GO Function IDs,Curated GO Functions,Curated GO Process IDs,Curated GO Processes,EC numbers,EC numbers from OrthoMCL
PF3D7_0101100,"Pf3D7_01_v3:69,304..70,417(-)",exported protein family 4,null,null,null,null,null,null,GO:0020036,Maurer's cleft,null,null,null,null,null,null
PF3D7_0101200,"Pf3D7_01_v3:71,624..72,426(+)",exported protein family 3,null,null,null,null,null,null,GO:0020036,Maurer's cleft,null,null,null,null,null,null
PF3D7_0101300,"Pf3D7_01_v3:74,563..75,366(+)",Pfmc-2TM Maurer's cleft two transmembrane protein,null,null,null,null,null,null,GO:0020036;GO:0016021,Maurer's cleft;integral component of membrane,null,null,GO:0042000,translocation of peptides or proteins into host,null,null
PF3D7_0101400,"Pf3D7_01_v3:75,982..76,809(-)","exported protein family 1, pseudogene",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0101500,"Pf3D7_01_v3:78,241..79,891(+)","erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene",GO:0016021,integral component of membrane,GO:0046789,host cell surface receptor binding,GO:0009405,pathogenesis,null,null,null,null,null,null,null,null
PF3D7_0101600,"Pf3D7_01_v3:81,765..83,106(-)",rifin,null,null,null,null,null,null,GO:0020036;GO:0020002;GO:0020003,Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole,null,null,GO:0020033;GO:0020035;GO:0020013,"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation",null,null
PF3D7_0101700,"Pf3D7_01_v3:84,791..86,152(-)","erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0101800,"Pf3D7_01_v3:87,203..88,177(-)",stevor,GO:0016020,membrane,null,null,null,null,GO:0020036,Maurer's cleft,null,null,GO:0020013,modulation by symbiont of host erythrocyte aggregation,null,null
PF3D7_0101900,"Pf3D7_01_v3:90,242..91,420(-)",rifin,GO:0016020,membrane,null,null,null,null,GO:0020002,host cell plasma membrane,null,null,GO:0020033,antigenic variation,null,null
PF3D7_0102000,"Pf3D7_01_v3:93,113..93,875(-)","Plasmodium exported protein (PHISTa), unknown function, pseudogene",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0102100,"Pf3D7_01_v3:95,050..95,899(+)","stevor, pseudogene",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0102200,"Pf3D7_01_v3:98,819..102,282(+)",ring-infected erythrocyte surface antigen,null,null,null,null,null,null,GO:1903561;GO:0020020;GO:0020002;GO:0020026;GO:0020003,extracellular vesicle;food vacuole;host cell plasma membrane;merozoite dense granule;symbiont-containing vacuole,GO:0005515,protein binding,GO:0050776,regulation of immune response,null,null
PF3D7_0102300,"Pf3D7_01_v3:104,704..105,209(+)","Plasmodium exported protein, unknown function",null,null,null,null,null,null,GO:0020011;GO:0043657,apicoplast;host cell,null,null,null,null,null,null
PF3D7_0102400,"Pf3D7_01_v3:107,197..108,348(-)","lysophospholipase, putative, pseudogene",null,null,null,null,null,null,null,null,null,null,null,null,3.1.1.5 (Lysophospholipase),3.1.1.5 (Lysophospholipase)
PF3D7_0102500,"Pf3D7_01_v3:110,750..115,799(-)",erythrocyte binding antigen-181,GO:0016021,integral component of membrane,GO:0046789,host cell surface receptor binding,GO:0009405,pathogenesis,GO:1903561;GO:0020009,extracellular vesicle;microneme,GO:0008201;GO:0033691,heparin binding;sialic acid binding,GO:0098609;GO:0030260,cell-cell adhesion;entry into host cell,null,null
PF3D7_0102600,"Pf3D7_01_v3:119,041..121,249(-)","serine/threonine protein kinase, FIKK family",null,null,GO:0005524;GO:0004672,ATP binding;protein kinase activity,GO:0006468,protein phosphorylation,null,null,GO:0004672,protein kinase activity,GO:0006468,protein phosphorylation,2.7.11.1 (Non-specific serine/threonine protein kinase),2.7.11.1 (Non-specific serine/threonine protein kinase)
PF3D7_0102700,"Pf3D7_01_v3:124,517..125,484(+)",merozoite-associated tryptophan-rich antigen,null,null,null,null,null,null,GO:0009986,cell surface,null,null,null,null,null,null
PF3D7_0102800,"Pf3D7_01_v3:126,318..128,141(-)","seipin domain-containing protein, putative",GO:0016021;GO:0016020,integral component of membrane;membrane,null,null,GO:0019915,lipid storage,null,null,null,null,null,null,null,null
PF3D7_0102900,"Pf3D7_01_v3:128,960..130,840(-)",aspartate--tRNA ligase,GO:0005737,cytoplasm,GO:0005524;GO:0004812;GO:0004815;GO:0003676;GO:0000166,ATP binding;aminoacyl-tRNA ligase activity;aspartate-tRNA ligase activity;nucleic acid binding;nucleotide binding,GO:0006422;GO:0006418,aspartyl-tRNA aminoacylation;tRNA aminoacylation for protein translation,null,null,GO:0004815;GO:0042803,aspartate-tRNA ligase activity;protein homodimerization activity,GO:0006422,aspartyl-tRNA aminoacylation,6.1.1.12 (Aspartate--tRNA ligase),6.1.1.12 (Aspartate--tRNA ligase)
PF3D7_0103000,"Pf3D7_01_v3:132,086..133,624(-)","vacuolar protein sorting-associated protein VTA1, putative",GO:0005737,cytoplasm,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0103100,"Pf3D7_01_v3:134,353..139,257(-)","vacuolar protein sorting-associated protein 51, putative",null,null,null,null,null,null,GO:0005794,Golgi apparatus,null,null,GO:0015031;GO:0042147,"protein transport;retrograde transport, endosome to Golgi",null,null
PF3D7_0103200,"Pf3D7_01_v3:140,662..142,219(-)",nucleoside transporter 4,null,null,null,null,null,null,GO:0016021,integral component of membrane,GO:0005345;GO:0015211,purine nucleobase transmembrane transporter activity;purine nucleoside transmembrane transporter activity,GO:0006863;GO:0015860,purine nucleobase transport;purine nucleoside transmembrane transport,null,null
PF3D7_0103300,"Pf3D7_01_v3:143,640..146,396(-)","conserved protein, unknown function",GO:0005737;GO:0005622,cytoplasm;intracellular,GO:0046872,metal ion binding,null,null,null,null,null,null,null,null,null,null
PF3D7_0103400,"Pf3D7_01_v3:147,915..152,777(-)","zinc-carboxypeptidase, putative",null,null,null,null,null,null,null,null,null,null,null,null,3.4.17.10 (Carboxypeptidase E),3.4.17.10 (Carboxypeptidase E)
PF3D7_0103500,"Pf3D7_01_v3:154,176..160,426(+)","conserved Plasmodium protein, unknown function",GO:0005737;GO:0005576,cytoplasm;extracellular region,GO:0005198,structural molecule activity,GO:0006817,phosphate ion transport,null,null,null,null,null,null,null,null
PF3D7_0103600,"Pf3D7_01_v3:161,131..166,229(+)","ATP-dependent RNA helicase, putative",null,null,GO:0005524;GO:0003676,ATP binding;nucleic acid binding,null,null,GO:0020011,apicoplast,null,null,null,null,3.6.4.13 (RNA helicase),3.6.4.13 (RNA helicase)
PF3D7_0103700,"Pf3D7_01_v3:166,513..168,687(+)","L-seryl-tRNA(Sec) kinase, putative",null,null,GO:0005524;GO:0016301,ATP binding;kinase activity,null,null,null,null,null,null,null,null,2.7.1.164 (O-phosphoseryl-tRNA(Sec) kinase),2.7.1.164 (O-phosphoseryl-tRNA(Sec) kinase)
PF3D7_0103800,"Pf3D7_01_v3:169,079..171,273(-)",actin-related protein,null,null,null,null,null,null,GO:0045177;GO:0005869,apical part of cell;dynactin complex,GO:0005200,structural constituent of cytoskeleton,null,null,null,null
PF3D7_0103900,"Pf3D7_01_v3:172,864..174,591(+)",parasite-infected erythrocyte surface protein,GO:0005737;GO:0016020;GO:0016459,cytoplasm;membrane;myosin complex,GO:0005524;GO:0003779;GO:0005516;GO:0003774,ATP binding;actin binding;calmodulin binding;motor activity,null,null,null,null,null,null,null,null,null,null
PF3D7_0104000,"Pf3D7_01_v3:175,609..176,376(+)",thrombospondin-related sporozoite protein,null,null,null,null,null,null,GO:0009986,cell surface,null,null,GO:0030260,entry into host cell,null,null
PF3D7_0104100,"Pf3D7_01_v3:178,087..180,790(+)","conserved Plasmodium membrane protein, unknown function",null,null,null,null,GO:0006810,transport,GO:0009986;GO:0016021,cell surface;integral component of membrane,null,null,null,null,null,null
PF3D7_0104200,"Pf3D7_01_v3:182,822..184,222(-)",StAR-related lipid transfer protein,null,null,null,null,null,null,GO:0044164;GO:0016021;GO:0020003,host cell cytosol;integral component of membrane;symbiont-containing vacuole,GO:0008525;GO:0008526,phosphatidylcholine transporter activity;phosphatidylinositol transporter activity,GO:2001139;GO:0015914,negative regulation of phospholipid transport;phospholipid transport,null,null
PF3D7_0104300,"Pf3D7_01_v3:190,269..201,230(+)","ubiquitin carboxyl-terminal hydrolase 1, putative",null,null,GO:0036459,thiol-dependent ubiquitinyl hydrolase activity,null,null,null,null,null,null,GO:0006511,ubiquitin-dependent protein catabolic process,3.4.19.12 (Ubiquitinyl hydrolase 1),3.4.19.12 (Ubiquitinyl hydrolase 1)
PF3D7_0104400,"Pf3D7_01_v3:202,536..204,143(+)",4-hydroxy-3-methylbut-2-enyl diphosphate reductase,null,null,GO:0051745;GO:0046872,4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity;metal ion binding,GO:0050992;GO:0019288,"dimethylallyl diphosphate biosynthetic process;isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",GO:0020011,apicoplast,GO:0051745,4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity,GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",1.17.1.2 (4-hydroxy-3-methylbut-2-enyl diphosphate reductase),1.17.1.2 (4-hydroxy-3-methylbut-2-enyl diphosphate reductase)
PF3D7_0104500,"Pf3D7_01_v3:204,622..205,455(-)","conserved protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0104600,"Pf3D7_01_v3:206,170..210,189(+)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0104700,"Pf3D7_01_v3:210,870..213,005(+)","major facilitator superfamily-related transporter, putative",null,null,null,null,null,null,GO:0016021,integral component of membrane,null,null,null,null,null,null
PF3D7_0104800,"Pf3D7_01_v3:215,776..217,509(+)","novel putative transporter 1, putative",null,null,null,null,null,null,GO:0071944;GO:0016021,cell periphery;integral component of membrane,GO:0015181,arginine transmembrane transporter activity,GO:0015809;GO:0015819,arginine transport;lysine transport,null,null
PF3D7_0104900,"Pf3D7_01_v3:218,517..218,824(-)",RNase MRP,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0105000,"Pf3D7_01_v3:218,894..219,223(-)",unspecified product,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0105100,"Pf3D7_01_v3:221,202..221,633(+)","conserved Apicomplexan protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0105200,"Pf3D7_01_v3:222,254..223,960(-)","heptatricopeptide repeat and RAP domain-containing protein, putative",null,null,null,null,null,null,GO:0005739,mitochondrion,GO:0003729,mRNA binding,null,null,null,null
PF3D7_0105300,"Pf3D7_01_v3:225,110..225,779(-)",cyclase-associated protein,null,null,GO:0003779,actin binding,GO:0007010,cytoskeleton organization,null,null,GO:0003785;GO:0008179;GO:0046983,actin monomer binding;adenylate cyclase binding;protein dimerization activity,null,null,null,null
PF3D7_0105400,"Pf3D7_01_v3:226,681..227,285(-)","conserved Plasmodium protein, unknown function",GO:0016021;GO:0016020,integral component of membrane;membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0105400,"Pf3D7_01_v3:226,681..227,285(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0105500,"Pf3D7_01_v3:228,485..229,519(-)","conserved protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0105600,"Pf3D7_01_v3:230,289..234,402(-)","conserved Plasmodium protein, unknown function",GO:0005737,cytoplasm,GO:0008168;GO:0008650,methyltransferase activity;rRNA (uridine-2'-O-)-methyltransferase activity,GO:0032259;GO:0006364,methylation;rRNA processing,null,null,null,null,null,null,null,null
PF3D7_0105700,"Pf3D7_01_v3:238,666..247,857(+)",asparagine-rich antigen Pfa35-2,null,null,null,null,null,null,null,null,GO:0003729,mRNA binding,null,null,null,2.7.10.2 (Non-specific protein-tyrosine kinase)
PF3D7_0105800,"Pf3D7_01_v3:249,231..252,010(-)","cyclin-dependent kinases regulatory subunit, putative",null,null,GO:0016538;GO:0000166,cyclin-dependent protein serine/threonine kinase regulator activity;nucleotide binding,GO:0007049,cell cycle,null,null,null,null,null,null,null,null
PF3D7_0105900,"Pf3D7_01_v3:253,584..254,930(+)","3'-5' exonuclease, putative",null,null,GO:0008408;GO:0003676,3'-5' exonuclease activity;nucleic acid binding,GO:0006139,nucleobase-containing compound metabolic process,null,null,null,null,null,null,3.1.11.- (Exodeoxyribonucleases producing 5'-phosphomonoesters.);3.1.11.1 (Exodeoxyribonuclease I),3.1.11.1 (Exodeoxyribonuclease I)
PF3D7_0106000,"Pf3D7_01_v3:255,775..258,543(-)","conserved protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0106100,"Pf3D7_01_v3:260,658..261,809(-)","V-type proton ATPase subunit C, putative",GO:0033180,"proton-transporting V-type ATPase, V1 domain",GO:0015078,proton transmembrane transporter activity,GO:0015991,ATP hydrolysis coupled proton transport,GO:0005753;GO:0005634,mitochondrial proton-transporting ATP synthase complex;nucleus,GO:0046961,"proton-transporting ATPase activity, rotational mechanism",GO:0015986,ATP synthesis coupled proton transport,3.6.3.14 (H(+)-transporting two-sector ATPase),3.6.1.34 (Transferred entry: 3.6.3.14)
PF3D7_0106200,"Pf3D7_01_v3:263,340..264,223(-)","EF hand domain-containing protein, putative",GO:0005737,cytoplasm,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0106300,"Pf3D7_01_v3:265,208..269,173(-)",calcium-transporting ATPase,GO:0016021,integral component of membrane,GO:0000166,nucleotide binding,null,null,null,null,GO:0005388,calcium-transporting ATPase activity,GO:0006816;GO:0042493,calcium ion transport;response to drug,3.6.3.8 (Calcium-transporting ATPase),3.6.3.8 (Calcium-transporting ATPase)
PF3D7_0106400,"Pf3D7_01_v3:272,454..273,404(+)","pre-rRNA-processing protein TSR2, putative",null,null,null,null,GO:0006364,rRNA processing,null,null,null,null,null,null,null,null
PF3D7_0106500,"Pf3D7_01_v3:274,315..278,550(+)","conserved Plasmodium protein, unknown function",null,null,GO:0016740,transferase activity,null,null,null,null,null,null,null,null,null,null
PF3D7_0106600,"Pf3D7_01_v3:279,115..280,014(+)","conserved Plasmodium protein, unknown function",GO:0005737;GO:0005622,cytoplasm;intracellular,GO:0005525;GO:0003924;GO:0003743,GTP binding;GTPase activity;translation initiation factor activity,GO:0006412;GO:0006413,translation;translational initiation,GO:0044538,host cell periphery,null,null,null,null,null,null
PF3D7_0106700,"Pf3D7_01_v3:281,155..285,459(+)",small ribosomal subunit assembling AARP2 protein,GO:0005634,nucleus,null,null,GO:0042254,ribosome biogenesis,GO:0005886,plasma membrane,null,null,null,null,null,null
PF3D7_0106800,"Pf3D7_01_v3:286,951..288,918(+)",ras-related protein Rab-5C,null,null,GO:0005525;GO:0003924,GTP binding;GTPase activity,null,null,GO:0016020,membrane,GO:0003924,GTPase activity,GO:0060627;GO:0007264,regulation of vesicle-mediated transport;small GTPase mediated signal transduction,3.6.5.2 (Small monomeric GTPase),3.6.5.2 (Small monomeric GTPase)
PF3D7_0106900,"Pf3D7_01_v3:290,386..292,590(+)","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative",null,null,GO:0050518;GO:0003824;GO:0070567,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity;catalytic activity;cytidylyltransferase activity,GO:0008299,isoprenoid biosynthetic process,GO:0020011,apicoplast,null,null,GO:0042493,response to drug,2.7.7.60 (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase),2.7.7.60 (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase)
PF3D7_0107000,"Pf3D7_01_v3:293,642..294,968(+)",centrin-1,null,null,GO:0005509,calcium ion binding,null,null,GO:0005813,centrosome,GO:0005509,calcium ion binding,GO:0000278,mitotic cell cycle,null,null
PF3D7_0107100,"Pf3D7_01_v3:295,300..296,931(-)","conserved protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0107200,"Pf3D7_01_v3:297,362..299,397(+)","CCR4 domain-containing protein 3, putative",null,null,null,null,null,null,GO:0005634,nucleus,GO:0004518,nuclease activity,null,null,null,null
PF3D7_0107300,"Pf3D7_01_v3:299,562..300,868(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0107400,"Pf3D7_01_v3:302,937..303,398(+)","ATP synthase-associated protein, putative",null,null,null,null,null,null,GO:0005739,mitochondrion,null,null,null,null,null,null
PF3D7_0107500,"Pf3D7_01_v3:304,362..309,257(-)",Niemann-Pick type C1-related protein,GO:0016021,integral component of membrane,null,null,null,null,GO:0016021;GO:0005886,integral component of membrane;plasma membrane,null,null,GO:0055088;GO:0042493,lipid homeostasis;response to drug,null,null
PF3D7_0107600,"Pf3D7_01_v3:314,618..319,405(+)","eukaryotic translation initiation factor 2-alpha kinase 2, putative",null,null,GO:0005524;GO:0004672,ATP binding;protein kinase activity,GO:0006468,protein phosphorylation,null,null,GO:0005524;GO:0004672,ATP binding;protein kinase activity,GO:0009405;GO:0010998,pathogenesis;regulation of translational initiation by eIF2 alpha phosphorylation,2.7.11.1 (Non-specific serine/threonine protein kinase),2.7.11.1 (Non-specific serine/threonine protein kinase)
PF3D7_0107700,"Pf3D7_01_v3:320,168..321,508(+)","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST3/OST6, putative",null,null,null,null,null,null,GO:0020011;GO:0009986;GO:0044164;GO:0033644,apicoplast;cell surface;host cell cytosol;host cell membrane,GO:0004579,dolichyl-diphosphooligosaccharide-protein glycotransferase activity,null,null,null,null
PF3D7_0107800,"Pf3D7_01_v3:322,371..326,072(+)",double-strand break repair protein MRE11,GO:0005634,nucleus,GO:0004519;GO:0004527;GO:0030145,endonuclease activity;exonuclease activity;manganese ion binding,GO:0006302,double-strand break repair,null,null,GO:0004518;GO:0005515,nuclease activity;protein binding,GO:0006281,DNA repair,3.1.11.- (Exodeoxyribonucleases producing 5'-phosphomonoesters.),3.1.11.- (Exodeoxyribonucleases producing 5'-phosphomonoesters.)
PF3D7_0107900,"Pf3D7_01_v3:326,397..327,224(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,GO:0020011,apicoplast,null,null,null,null,null,null
PF3D7_0108000,"Pf3D7_01_v3:328,431..329,558(-)","proteasome subunit beta type-3, putative",GO:0005839,proteasome core complex,GO:0004298,threonine-type endopeptidase activity,GO:0051603,proteolysis involved in cellular protein catabolic process,GO:0019774,"proteasome core complex, beta-subunit complex",GO:0004175,endopeptidase activity,GO:0006511,ubiquitin-dependent protein catabolic process,3.4.25.1 (Proteasome endopeptidase complex),3.4.25.1 (Proteasome endopeptidase complex)
PF3D7_0108100,"Pf3D7_01_v3:330,738..332,708(+)","conserved protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0108300,"Pf3D7_01_v3:337,168..343,833(+)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,GO:0030430;GO:0044228,host cell cytoplasm;host cell surface,GO:0003729,mRNA binding,null,null,null,null
PF3D7_0108400,"Pf3D7_01_v3:344,400..346,540(-)","mitochondrial carrier protein, putative",null,null,null,null,null,null,null,null,null,null,GO:0042493,response to drug,null,null
PF3D7_0108400,"Pf3D7_01_v3:344,400..346,540(-)","mitochondrial carrier protein, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0108500,"Pf3D7_01_v3:349,170..349,709(+)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,GO:0005634,nucleus,null,null,null,null,null,null
PF3D7_0108600,"Pf3D7_01_v3:349,995..351,626(-)","conserved protein, unknown function",GO:0005737,cytoplasm,GO:0005524;GO:0031072;GO:0051082;GO:0008270,ATP binding;heat shock protein binding;unfolded protein binding;zinc ion binding,GO:0006260;GO:0006457;GO:0009408,DNA replication;protein folding;response to heat,null,null,null,null,null,null,null,null
PF3D7_0108700,"Pf3D7_01_v3:352,314..356,211(-)","secreted ookinete protein, putative",GO:0016020;GO:0005634,membrane;nucleus,null,null,null,null,GO:0020011,apicoplast,null,null,null,null,null,null
PF3D7_0108800,"Pf3D7_01_v3:357,834..360,339(+)","mitochondrial carrier protein, putative",GO:0016021;GO:0005743;GO:0005739,integral component of membrane;mitochondrial inner membrane;mitochondrion,GO:0005215,transporter activity,GO:0006810,transport,null,null,null,null,null,null,null,null
PF3D7_0108900,"Pf3D7_01_v3:361,987..362,586(-)",unspecified product,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0109000,"Pf3D7_01_v3:363,318..363,992(+)",photosensitized INA-labeled protein PHIL1,null,null,null,null,null,null,GO:0070258,inner membrane pellicle complex,GO:0005515,protein binding,null,null,null,null
PF3D7_0109100,"Pf3D7_01_v3:365,610..368,795(+)",LCCL domain-containing protein,null,null,null,null,null,null,GO:0044312;GO:0005788,crystalloid;endoplasmic reticulum lumen,null,null,null,null,null,null
PF3D7_0109200,"Pf3D7_01_v3:369,480..370,178(-)","cleavage and polyadenylation specificity factor subunit 5, putative",GO:0005849,mRNA cleavage factor complex,GO:0003729,mRNA binding,GO:0006378,mRNA polyadenylation,null,null,null,null,null,null,null,null
PF3D7_0109300,"Pf3D7_01_v3:371,815..373,012(-)","fatty acid elongation protein, GNS1/SUR4 family, putative",GO:0016021,integral component of membrane,null,null,null,null,GO:0005886,plasma membrane,null,null,null,null,6.2.1.3 (Long-chain-fatty-acid--CoA ligase),6.2.1.3 (Long-chain-fatty-acid--CoA ligase)
PF3D7_0109400,"Pf3D7_01_v3:374,439..375,087(-)","tubulin-specific chaperone a, putative",null,null,GO:0048487,beta-tubulin binding,GO:0007023;GO:0007021,post-chaperonin tubulin folding pathway;tubulin complex assembly,null,null,null,null,GO:0007021,tubulin complex assembly,null,null
PF3D7_0109500,"Pf3D7_01_v3:376,294..377,004(-)","N-acetyltransferase, GNAT family, putative",null,null,GO:0016747,"transferase activity, transferring acyl groups other than amino-acyl groups",null,null,null,null,GO:0008080,N-acetyltransferase activity,null,null,2.3.1.- (Transferring groups other than amino-acyl groups.);2.3.1.1 (Amino-acid N-acetyltransferase);2.3.1.48 (Histone acetyltransferase),2.3.1.1 (Amino-acid N-acetyltransferase)
PF3D7_0109600,"Pf3D7_01_v3:377,874..378,599(-)","cold-shock protein, putative",null,null,GO:0003677;GO:0003676,DNA binding;nucleic acid binding,GO:0006355,"regulation of transcription, DNA-templated",null,null,GO:0003690,double-stranded DNA binding,GO:0035556;GO:0006355,"intracellular signal transduction;regulation of transcription, DNA-templated",null,null
PF3D7_0109700,"Pf3D7_01_v3:379,149..379,806(-)","rRNA biogenesis protein RRP36, putative",null,null,null,null,GO:0000469,cleavage involved in rRNA processing,null,null,null,null,null,null,null,null
PF3D7_0109800,"Pf3D7_01_v3:380,697..382,424(+)",phenylalanine--tRNA ligase alpha subunit,GO:0005737,cytoplasm,GO:0005524;GO:0004812;GO:0000166;GO:0004826;GO:0000049,ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;phenylalanine-tRNA ligase activity;tRNA binding,GO:0006432;GO:0043039,phenylalanyl-tRNA aminoacylation;tRNA aminoacylation,null,null,GO:0004826,phenylalanine-tRNA ligase activity,GO:0006432;GO:0042493,phenylalanyl-tRNA aminoacylation;response to drug,6.1.1.20 (Phenylalanine--tRNA ligase),6.1.1.20 (Phenylalanine--tRNA ligase)
PF3D7_0109850,"Pf3D7_01_v3:383,284..386,632(+)","phosphatidate cytidylyltransferase, putative",null,null,null,null,null,null,GO:0020011;GO:0016021,apicoplast;integral component of membrane,null,null,null,null,2.7.7.41 (Phosphatidate cytidylyltransferase),2.7.7.41 (Phosphatidate cytidylyltransferase)
PF3D7_0109950,"Pf3D7_01_v3:386,708..387,940(+)","conserved protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,2.7.7.41 (Phosphatidate cytidylyltransferase)
