GO Process ID,GO Process Desc,IsInvolvedInArtemisinResistance
GO:0030433,ubiquitin-dependent ERAD pathway,1
GO:0006413,translational initiation,1
GO:0002312,B cell activation involved in immune response,0
GO:0007059,chromosome segregation,0
GO:0006846,acetate transport,0
GO:0015724,formate transport,0
GO:0035873,lactate transmembrane transport,1
GO:0006848,pyruvate transport,1
GO:0007029,endoplasmic reticulum organization,0
GO:0071786,endoplasmic reticulum tubular network organization,0
GO:0070682,proteasome regulatory particle assembly,1
GO:0006379,mRNA cleavage,0
GO:0006378,mRNA polyadenylation,0
GO:0006096,glycolytic process,1
GO:0006812,cation transport,0
GO:0043666,regulation of phosphoprotein phosphatase activity,0
GO:0045047,protein targeting to ER,1
GO:0006465,signal peptide processing,1
GO:0006333,chromatin assembly or disassembly,0
GO:0006487,protein N-linked glycosylation,1
GO:0019432,triglyceride biosynthetic process,0
GO:0051205,protein insertion into membrane,0
GO:0000481,maturation of 5S rRNA,0
GO:0015908,fatty acid transport,1
GO:0016579,protein deubiquitination,1
GO:0006270,DNA replication initiation,0
GO:0000354,cis assembly of pre-catalytic spliceosome,0
GO:0016070,RNA metabolic process,0
GO:0008380,RNA splicing,0
GO:0000375,"RNA splicing, via transesterification reactions",0
GO:0006554,lysine catabolic process,0
GO:0007035,vacuolar acidification,0
GO:0006261,DNA-dependent DNA replication,0
GO:0051052,regulation of DNA metabolic process,0
GO:0007010,cytoskeleton organization,0
GO:0006890,"retrograde vesicle-mediated transport, Golgi to ER",1
GO:0006139,nucleobase-containing compound metabolic process,0
GO:0070681,glutaminyl-tRNAGln biosynthesis via transamidation,0
GO:0016480,negative regulation of transcription by RNA polymerase III,0
GO:0051881,regulation of mitochondrial membrane potential,0
GO:0017148,negative regulation of translation,1
GO:0006405,RNA export from nucleus,0
GO:0006606,protein import into nucleus,0
GO:0046488,phosphatidylinositol metabolic process,1
GO:0030261,chromosome condensation,0
GO:0000910,cytokinesis,1
GO:0008299,isoprenoid biosynthetic process,1
GO:0030036,actin cytoskeleton organization,1
GO:0051014,actin filament severing,0
GO:0060327,cytoplasmic actin-based contraction involved in cell motility,1
GO:0006099,tricarboxylic acid cycle,1
GO:0019941,modification-dependent protein catabolic process,1
GO:0046323,glucose import,1
GO:0006323,DNA packaging,0
GO:0006360,transcription by RNA polymerase I,0
GO:0006265,DNA topological change,0
GO:0032715,negative regulation of interleukin-6 production,0
GO:0006021,inositol biosynthetic process,0
GO:0006750,glutathione biosynthetic process,0
GO:0006979,response to oxidative stress,0
GO:0032147,activation of protein kinase activity,0
GO:0006148,inosine catabolic process,0
GO:0006152,purine nucleoside catabolic process,0
GO:0009052,"pentose-phosphate shunt, non-oxidative branch",0
GO:0008615,pyridoxine biosynthetic process,1
GO:0045787,positive regulation of cell cycle,1
GO:0046907,intracellular transport,0
GO:0006397,mRNA processing,0
GO:0048024,"regulation of mRNA splicing, via spliceosome",0
GO:0006351,"transcription, DNA-templated",0
GO:0051693,actin filament capping,0
GO:0051016,barbed-end actin filament capping,0
GO:0009657,plastid organization,0
GO:0045736,negative regulation of cyclin-dependent protein serine/threonine kinase activity,0
GO:0051726,regulation of cell cycle,1
GO:0043487,regulation of RNA stability,0
GO:0009228,thiamine biosynthetic process,0
GO:0070476,rRNA (guanine-N7)-methylation,0
GO:0000380,"alternative mRNA splicing, via spliceosome",0
GO:0006627,protein processing involved in protein targeting to mitochondrion,1
GO:0006607,NLS-bearing protein import into nucleus,0
GO:0006913,nucleocytoplasmic transport,0
GO:0006626,protein targeting to mitochondrion,1
GO:0031591,wybutosine biosynthetic process,0
GO:0006396,RNA processing,0
GO:0016567,protein ubiquitination,1
GO:0051085,chaperone cofactor-dependent protein refolding,1
GO:0043248,proteasome assembly,1
GO:0008643,carbohydrate transport,1
GO:0045010,actin nucleation,0
GO:0008154,actin polymerization or depolymerization,0
GO:0018344,protein geranylgeranylation,0
GO:0051131,chaperone-mediated protein complex assembly,1
GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,0
GO:0006241,CTP biosynthetic process,0
GO:0006183,GTP biosynthetic process,0
GO:0006228,UTP biosynthetic process,0
GO:0006302,double-strand break repair,0
GO:0019368,"fatty acid elongation, unsaturated fatty acid",0
GO:0043484,regulation of RNA splicing,0
GO:0006783,heme biosynthetic process,1
GO:0007052,mitotic spindle organization,0
GO:0070988,demethylation,0
GO:0006591,ornithine metabolic process,0
GO:0000350,generation of catalytic spliceosome for second transesterification step,0
GO:0051276,chromosome organization,0
GO:0006098,pentose-phosphate shunt,0
GO:0032447,protein urmylation,0
GO:0016226,iron-sulfur cluster assembly,0
GO:0016310,phosphorylation,0
GO:0008614,pyridoxine metabolic process,1
GO:0000304,response to singlet oxygen,0
GO:0042819,vitamin B6 biosynthetic process,0
GO:0048870,cell motility,1
GO:0030150,protein import into mitochondrial matrix,0
GO:0006506,GPI anchor biosynthetic process,1
GO:0006097,glyoxylate cycle,0
GO:0051083,'de novo' cotranslational protein folding,1
GO:0006429,leucyl-tRNA aminoacylation,0
GO:0009423,chorismate biosynthetic process,0
GO:0033587,shikimate biosynthetic process,0
GO:0020014,schizogony,0
GO:0019430,removal of superoxide radicals,0
GO:0090502,"RNA phosphodiester bond hydrolysis, endonucleolytic",0
GO:0006338,chromatin remodeling,0
GO:0043631,RNA polyadenylation,0
GO:0008152,metabolic process,1
GO:0051289,protein homotetramerization,0
GO:0045039,protein import into mitochondrial inner membrane,0
GO:0036525,protein deglycation,0
GO:0006091,generation of precursor metabolites and energy,1
GO:0006729,tetrahydrobiopterin biosynthetic process,0
GO:0035690,cellular response to drug,1
GO:0006629,lipid metabolic process,0
GO:0006048,UDP-N-acetylglucosamine biosynthetic process,1
GO:0032508,DNA duplex unwinding,0
GO:0010501,RNA secondary structure unwinding,0
GO:0006644,phospholipid metabolic process,0
GO:0097428,protein maturation by iron-sulfur cluster transfer,0
GO:0006370,7-methylguanosine mRNA capping,0
GO:0015682,ferric iron transport,0
GO:0015684,ferrous iron transport,0
GO:0034635,glutathione transport,0
GO:0000715,"nucleotide-excision repair, DNA damage recognition",0
GO:0006357,regulation of transcription by RNA polymerase II,0
GO:0006884,cell volume homeostasis,0
GO:0006950,response to stress,1
GO:0032784,"regulation of DNA-templated transcription, elongation",0
GO:0006829,zinc ion transport,0
GO:0006534,cysteine metabolic process,0
GO:0006446,regulation of translational initiation,1
GO:0008616,queuosine biosynthetic process,0
GO:0006400,tRNA modification,0
GO:0090307,mitotic spindle assembly,0
GO:0036388,pre-replicative complex assembly,0
GO:0006434,seryl-tRNA aminoacylation,0
GO:0030522,intracellular receptor signaling pathway,0
GO:0006458,'de novo' protein folding,1
GO:0000280,nuclear division,0
GO:0007017,microtubule-based process,0
GO:0006310,DNA recombination,0
GO:0006298,mismatch repair,0
GO:0007530,sex determination,0
GO:0006306,DNA methylation,0
GO:0006614,SRP-dependent cotranslational protein targeting to membrane,1
GO:0000027,ribosomal large subunit assembly,1
GO:0000055,ribosomal large subunit export from nucleus,1
GO:0009451,RNA modification,0
GO:0006900,vesicle budding from membrane,1
GO:0075109,modulation by symbiont of host receptor-mediated signal transduction,1
GO:0007155,cell adhesion,1
GO:0006536,glutamate metabolic process,0
GO:0009268,response to pH,0
GO:0000724,double-strand break repair via homologous recombination,0
GO:0000226,microtubule cytoskeleton organization,0
GO:0018103,protein C-linked glycosylation,1
GO:0009266,response to temperature stimulus,0
GO:0006437,tyrosyl-tRNA aminoacylation,0
GO:0006761,dihydrofolate biosynthetic process,1
GO:0031146,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,1
GO:0016571,histone methylation,0
GO:0006996,organelle organization,0
GO:0019673,GDP-mannose metabolic process,1
GO:0006004,fucose metabolic process,1
GO:0006801,superoxide metabolic process,0
GO:0045454,cell redox homeostasis,0
GO:0006895,Golgi to endosome transport,1
GO:0006086,acetyl-CoA biosynthetic process from pyruvate,1
GO:0042254,ribosome biogenesis,1
GO:0007131,reciprocal meiotic recombination,0
GO:0002098,tRNA wobble uridine modification,0
GO:0055074,calcium ion homeostasis,0
GO:0002720,positive regulation of cytokine production involved in immune response,0
GO:0006359,regulation of transcription by RNA polymerase III,0
GO:0048469,cell maturation,1
GO:0006072,glycerol-3-phosphate metabolic process,1
GO:0006655,phosphatidylglycerol biosynthetic process,1
GO:0006103,2-oxoglutarate metabolic process,0
GO:0006388,"tRNA splicing, via endonucleolytic cleavage and ligation",0
GO:0002181,cytoplasmic translation,1
GO:0043966,histone H3 acetylation,0
GO:0009107,lipoate biosynthetic process,0
GO:0015742,alpha-ketoglutarate transport,0
GO:0006835,dicarboxylic acid transport,0
GO:0015743,malate transport,0
GO:0006839,mitochondrial transport,0
GO:0015858,nucleoside transport,0
GO:0016049,cell growth,1
GO:0019408,dolichol biosynthetic process,0
GO:0051302,regulation of cell division,1
GO:1902626,assembly of large subunit precursor of preribosome,0
GO:0042167,heme catabolic process,1
GO:0006825,copper ion transport,0
GO:0016441,posttranscriptional gene silencing,0
GO:0006525,arginine metabolic process,0
GO:0031365,N-terminal protein amino acid modification,1
GO:0043686,co-translational protein modification,1
GO:0036066,protein O-linked fucosylation,1
GO:0006269,"DNA replication, synthesis of RNA primer",0
GO:0006368,transcription elongation from RNA polymerase II promoter,0
GO:0016925,protein sumoylation,0
GO:0051301,cell division,1
GO:0040029,"regulation of gene expression, epigenetic",0
GO:0000723,telomere maintenance,0
GO:0006556,S-adenosylmethionine biosynthetic process,0
GO:0008153,para-aminobenzoic acid biosynthetic process,0
GO:0009249,protein lipoylation,0
GO:0032780,negative regulation of ATPase activity,0
GO:0006106,fumarate metabolic process,0
GO:0006186,dGDP phosphorylation,0
GO:0042989,sequestering of actin monomers,0
GO:0006427,histidyl-tRNA aminoacylation,0
GO:0030154,cell differentiation,1
GO:0006474,N-terminal protein amino acid acetylation,1
GO:0006431,methionyl-tRNA aminoacylation,0
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0
GO:0007266,Rho protein signal transduction,0
GO:0032958,inositol phosphate biosynthetic process,0
GO:0010468,regulation of gene expression,1
GO:0017183,peptidyl-diphthamide biosynthetic process from peptidyl-histidine,0
GO:0001731,formation of translation preinitiation complex,1
GO:0006166,purine ribonucleoside salvage,0
GO:0006164,purine nucleotide biosynthetic process,0
GO:0009225,nucleotide-sugar metabolic process,0
GO:0006747,FAD biosynthetic process,0
GO:0009263,deoxyribonucleotide biosynthetic process,0
GO:0002253,activation of immune response,0
GO:0000045,autophagosome assembly,0
GO:0006094,gluconeogenesis,1
GO:0009298,GDP-mannose biosynthetic process,1
GO:0000245,spliceosomal complex assembly,0
GO:0006471,protein ADP-ribosylation,0
GO:0030490,maturation of SSU-rRNA,0
GO:0046356,acetyl-CoA catabolic process,1
GO:0006101,citrate metabolic process,0
GO:0017121,phospholipid scrambling,1
GO:0006041,glucosamine metabolic process,0
GO:0042966,biotin carboxyl carrier protein biosynthetic process,0
GO:0006367,transcription initiation from RNA polymerase II promoter,0
GO:0019353,protoporphyrinogen IX biosynthetic process from glutamate,0
GO:0000290,deadenylation-dependent decapping of nuclear-transcribed mRNA,0
GO:0006596,polyamine biosynthetic process,0
GO:0009445,putrescine metabolic process,0
GO:0016311,dephosphorylation,0
GO:0010323,"negative regulation of isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",0
GO:1990481,mRNA pseudouridine synthesis,0
GO:0031120,snRNA pseudouridine synthesis,0
GO:0006898,receptor-mediated endocytosis,1
GO:0000717,"nucleotide-excision repair, DNA duplex unwinding",0
GO:0007276,gamete generation,0
GO:0015937,coenzyme A biosynthetic process,0
GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,0
GO:0046777,protein autophosphorylation,0
GO:0006104,succinyl-CoA metabolic process,0
GO:0006271,DNA strand elongation involved in DNA replication,0
GO:0006906,vesicle fusion,1
GO:0018342,protein prenylation,1
GO:0006749,glutathione metabolic process,0
GO:0000165,MAPK cascade,0
GO:0051568,histone H3-K4 methylation,0
GO:0051567,histone H3-K9 methylation,0
GO:0042540,hemoglobin catabolic process,0
GO:0000338,protein deneddylation,0
GO:0043983,histone H4-K12 acetylation,0
GO:0043984,histone H4-K16 acetylation,0
GO:0043981,histone H4-K5 acetylation,0
GO:0043982,histone H4-K8 acetylation,0
GO:0007015,actin filament organization,0
GO:0016255,attachment of GPI anchor to protein,1
GO:0006656,phosphatidylcholine biosynthetic process,0
GO:0006646,phosphatidylethanolamine biosynthetic process,0
GO:0006435,threonyl-tRNA aminoacylation,0
GO:0006399,tRNA metabolic process,0
GO:0030488,tRNA methylation,0
GO:0008295,spermidine biosynthetic process,0
GO:0006284,base-excision repair,0
GO:0048015,phosphatidylinositol-mediated signaling,0
GO:0000070,mitotic sister chromatid segregation,0
GO:0051475,glucosylglycerol transport,1
GO:0009247,glycolipid biosynthetic process,0
GO:0015791,polyol transport,0
GO:0006833,water transport,0
GO:0055114,oxidation-reduction process,0
GO:0051604,protein maturation,1
GO:0034227,tRNA thio-modification,0
GO:0002143,tRNA wobble position uridine thiolation,0
GO:0006182,cGMP biosynthetic process,0
GO:0030048,actin filament-based movement,1
GO:0042797,tRNA transcription by RNA polymerase III,0
GO:0017038,protein import,1
GO:0006891,intra-Golgi vesicle-mediated transport,1
GO:0018343,protein farnesylation,0
GO:0001819,positive regulation of cytokine production,0
GO:0006464,cellular protein modification process,1
GO:0009438,methylglyoxal metabolic process,0
GO:0006383,transcription by RNA polymerase III,0
GO:0008033,tRNA processing,0
GO:0034968,histone lysine methylation,0
GO:1904357,negative regulation of telomere maintenance via telomere lengthening,0
GO:0006779,porphyrin-containing compound biosynthetic process,0
GO:0002028,regulation of sodium ion transport,0
GO:0006352,"DNA-templated transcription, initiation",0
GO:0006418,tRNA aminoacylation for protein translation,0
GO:0006617,"SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition",1
GO:0034462,small-subunit processome assembly,0
GO:0015717,triose phosphate transport,0
GO:0006420,arginyl-tRNA aminoacylation,0
GO:0000389,mRNA 3'-splice site recognition,0
GO:0008283,cell proliferation,1
GO:0031935,regulation of chromatin silencing,0
GO:0015917,aminophospholipid transport,1
GO:0006879,cellular iron ion homeostasis,0
GO:0006843,mitochondrial citrate transmembrane transport,0
GO:0006842,tricarboxylic acid transport,0
GO:0009396,folic acid-containing compound biosynthetic process,0
GO:0006730,one-carbon metabolic process,0
GO:0016458,gene silencing,0
GO:0018063,cytochrome c-heme linkage,0
GO:0051259,protein complex oligomerization,1
GO:0006275,regulation of DNA replication,0
GO:0006813,potassium ion transport,0
GO:0000492,box C/D snoRNP assembly,0
GO:0070178,D-serine metabolic process,0
GO:0006684,sphingomyelin metabolic process,0
GO:0006272,leading strand elongation,0
GO:0046653,tetrahydrofolate metabolic process,1
GO:0045116,protein neddylation,0
GO:0032515,negative regulation of phosphoprotein phosphatase activity,0
GO:0045292,"mRNA cis splicing, via spliceosome",0
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,1
GO:0006928,movement of cell or subcellular component,1
GO:0006235,dTTP biosynthetic process,0
GO:0006227,dUDP biosynthetic process,0
GO:0006436,tryptophanyl-tRNA aminoacylation,0
GO:0006032,chitin catabolic process,0
GO:0075072,autophagy of symbiont cells involved in interaction with host,1
GO:0006814,sodium ion transport,0
GO:0006266,DNA ligation,0
GO:0006273,lagging strand elongation,0
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,0
GO:0007049,cell cycle,1
GO:0006538,glutamate catabolic process,0
GO:0015991,ATP hydrolysis coupled proton transport,0
GO:0032203,telomere formation via telomerase,0
GO:0007004,telomere maintenance via telomerase,0
GO:0016572,histone phosphorylation,0
GO:0006661,phosphatidylinositol biosynthetic process,1
GO:0006409,tRNA export from nucleus,0
GO:0006268,DNA unwinding involved in DNA replication,0
GO:0031204,"posttranslational protein targeting to membrane, translocation",1
GO:0009056,catabolic process,1
GO:0046068,cGMP metabolic process,0
GO:0010452,histone H3-K36 methylation,0
GO:0006896,Golgi to vacuole transport,1
GO:0090141,positive regulation of mitochondrial fission,0
GO:0006015,5-phosphoribose 1-diphosphate biosynthetic process,0
GO:0006342,chromatin silencing,0
GO:0016233,telomere capping,0
GO:0006196,AMP catabolic process,0
GO:0016075,rRNA catabolic process,0
GO:0006817,phosphate ion transport,0
GO:0006447,regulation of translational initiation by iron,1
GO:0006102,isocitrate metabolic process,0
GO:0044068,modulation by symbiont of host cellular process,1
GO:0008654,phospholipid biosynthetic process,0
GO:0006424,glutamyl-tRNA aminoacylation,0
GO:0015966,diadenosine tetraphosphate biosynthetic process,0
GO:0006430,lysyl-tRNA aminoacylation,0
GO:0006071,glycerol metabolic process,1
GO:0043547,positive regulation of GTPase activity,0
GO:0046856,phosphatidylinositol dephosphorylation,0
GO:0006167,AMP biosynthetic process,0
GO:0006915,apoptotic process,0
GO:0006561,proline biosynthetic process,0
GO:0009231,riboflavin biosynthetic process,0
GO:0006974,cellular response to DNA damage stimulus,0
GO:0000741,karyogamy,0
GO:0006546,glycine catabolic process,0
GO:0006659,phosphatidylserine biosynthetic process,0
GO:0051382,kinetochore assembly,0
GO:0006419,alanyl-tRNA aminoacylation,0
GO:0065002,intracellular protein transmembrane transport,1
GO:0030148,sphingolipid biosynthetic process,0
GO:0006914,autophagy,0
GO:0050821,protein stabilization,1
GO:0006426,glycyl-tRNA aminoacylation,0
GO:0006887,exocytosis,1
GO:0006869,lipid transport,1
GO:0015977,carbon fixation,0
GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",0
GO:0007050,cell cycle arrest,1
GO:0006537,glutamate biosynthetic process,0
GO:0030091,protein repair,1
GO:0008535,respiratory chain complex IV assembly,0
GO:0035890,exit from host,0
GO:0042262,DNA protection,0
GO:0061025,membrane fusion,0
GO:0034982,mitochondrial protein processing,1
GO:0033615,mitochondrial proton-transporting ATP synthase complex assembly,0
GO:0060733,regulation of eIF2 alpha phosphorylation by amino acid starvation,1
GO:0045595,regulation of cell differentiation,1
GO:0006384,transcription initiation from RNA polymerase III promoter,0
GO:0051156,glucose 6-phosphate metabolic process,1
GO:0009594,detection of nutrient,0
GO:0044179,hemolysis in other organism,0
GO:0006885,regulation of pH,0
GO:0000281,mitotic cytokinesis,1
GO:0045737,positive regulation of cyclin-dependent protein serine/threonine kinase activity,0
GO:0031952,regulation of protein autophosphorylation,0
GO:0006119,oxidative phosphorylation,1
GO:0034414,"tRNA 3'-trailer cleavage, endonucleolytic",0
GO:0010628,positive regulation of gene expression,1
GO:0015693,magnesium ion transport,0
GO:0030970,"retrograde protein transport, ER to cytosol",1
GO:0044658,pore formation in membrane of host by symbiont,1
GO:0008272,sulfate transport,0
GO:0006325,chromatin organization,0
GO:0006402,mRNA catabolic process,0
GO:0030497,fatty acid elongation,1
