,component0,component1,component2,component3,component4,component5,component6,component7,component8,component9,component10,component11,component12,component13,component14,component15,component16,component17,component18,component19,component20,component21,component22,component23,component24,component25,component26,component27,component28,component29
isolate_17,51.57811994069601,-83.62807766074422,-16.13640732471207,-24.757277272618637,-19.682211605061607,-39.2495876100733,-28.770682125407752,26.205282907397503,6.296603405237814,-0.014230437491307106,34.47288682764183,-14.185115056017686,-10.239157182413877,-28.87557099776949,49.13557663751077,-1.1210454221927084,-3.5750381480029643,-1.294835868001126,-28.618026514279293,19.204593689473704,-36.6148586843643,10.579487617916287,19.967276730550054,-5.362191622297295,21.998806417630835,14.098517096580085,5.607906161229464,6.969954922015588,-0.03200117742036279,2.358698551797627e-14
isolate_18,-36.074354935641935,-23.95016761912415,95.8112519346211,25.299099338577108,-1.088810012773138,-40.30618571746124,-3.140331506845439,3.0022696142078336,-32.091994193104,-20.38772145795917,-1.9020270281052505,-8.610688631762038,-22.200657420827838,6.5001939364428845,-5.83583682569903,-1.3576851770651652,16.32114906530505,-17.018720974749904,-3.6704985456341372,-28.195976541949953,0.590504626165763,-0.43764154084028506,-9.969974953548576,13.172510799192022,-20.852926830382593,37.20645779877855,36.242762995485734,0.8463184332841928,-9.363502321351609,2.3586985517976266e-14
isolate_19,-50.72993863059422,-16.80621253769216,-49.46744990679723,-12.36091812531854,-21.443447600906286,4.474380631334629,53.38439171125756,29.201379858764685,12.093513321912862,-52.23481951686225,46.16041293246737,-3.913886025076072,4.891858932932517,-14.015905197125898,0.9121387632076047,22.342784012995573,-13.611034513237412,38.92260034145241,-23.527401353700164,-9.524470882565273,21.957649260354277,-34.209365280617135,-34.07066912104071,-2.483221978471966,1.0912181792596043,0.22508516032789672,2.9438974785915075,4.132574780474935,-5.377610917686196,2.3586985517976285e-14
isolate_20,38.13681416503415,-8.671800846379584,25.741365069530527,-9.552758118016046,-82.2408429895574,-30.28717517901474,-6.879553111638231,26.49555546010079,35.07027238792108,4.658587200217335,-16.228885084572596,-18.510347758433255,42.95264221048104,-5.607110103598168,4.779658835084323,-20.79916535570536,21.145710588272753,-25.380046945934314,-17.86309686147528,-40.35559337969229,-7.647633995282681,4.38877176231111,-19.735129346612545,-7.499863108689767,-16.393737228808966,-27.132862501149827,-18.517586725872487,-4.316085788450533,-1.6380507599868157,2.3586985517976285e-14
isolate_21,13.858192081760393,-18.826421216356902,-8.767263358156354,-32.20222863599233,-3.9332314489610822,-96.24894235502457,5.355719681737105,5.959458555286177,50.97490312520266,5.165953340270548,-38.87174170017105,12.16921229985631,-1.1659719517316895,7.656823865423112,-32.83753794430814,32.618628928094076,1.343714225699683,-8.703698267300473,12.833068138430008,6.9494166829307575,28.872935482908616,-11.821948878344932,22.885326849449186,-12.804701260406672,15.101269293977557,17.155038762765464,-16.624814724028113,6.9243246556833835,-10.920145476066445,2.35869855179763e-14
isolate_22,107.721726140072,33.956308411467994,37.22001114232379,46.03304999082051,33.19296301097198,10.374620527428453,21.541995675522625,8.772560918612141,7.253112704160761,-45.94421290723935,-2.9923429218456357,21.364358905493006,-1.5022808167219306,-2.2546751521475907,26.366714359419586,-42.96081493528103,45.74743415936158,1.3817617737035672,15.892818742878374,18.11856788250539,14.30751293015614,-28.48808479783278,-1.2924185402730701,-1.988206831398683,22.53479569266797,-0.44525376150444523,-2.4295076576957917,-7.303603926866641,-4.376441849810713,2.3586985517976298e-14
isolate_23,-58.81089224022274,30.616800648853825,-35.6630478739758,36.37808739763979,4.081868243363429,-29.912282259866373,-3.438957049327153,26.696425061576328,24.305151353646536,18.982988481054274,-22.671891846683458,-16.133723154020636,16.000840283615673,23.618562504104993,30.459424938892873,7.591434680744869,7.23024810267717,39.24232784752719,41.87167923644954,3.207991879642167,-24.58637973915706,0.7449327770003495,1.7865173204518219,-33.05760964145211,-12.485781005229198,-8.165154355970568,26.894045527805837,-5.646344869083697,-1.2053408060491395,2.358698551797625e-14
isolate_24,-83.05609452566956,-2.744054523526638,-55.99694526645886,49.92512983402444,24.887437149817803,-14.944748793712156,17.74161065333867,42.77944880721539,9.560595585492614,-8.637786763036507,-11.744335444706804,-25.71100974034376,-11.283186673473008,-3.3951363564394934,31.596730184304775,-20.526331272747825,-2.146953685402158,-20.585617385837615,-5.80103320980749,26.693203895445716,37.021596028308764,25.2460983176937,10.64422022234636,27.11801990981344,-26.871853090861016,-1.408848030013364,-14.034872552394576,1.6496026386704665,2.573484193452874,2.358698551797626e-14
isolate_25,-76.24004179318369,-36.26926798549696,25.15246775722911,34.59201903659306,30.29986041626184,21.244533063882443,-13.879163036466938,-26.72931067241173,-18.647864728006283,-16.10409574787694,7.421804072050578,-15.098808832816058,44.95779118489515,-43.84237506053559,-12.449314755089631,25.655187437499222,13.272188275578332,-27.543424305601786,12.60921430644855,4.726140764590846,19.351966106527115,22.135688105593786,-3.910371632806021,-15.030833370491104,32.04189180195894,-19.660763534897626,17.047412748462932,3.073469462717607,2.0534651006590234,2.358698551797626e-14
isolate_26,55.96846815887557,-59.88546297843659,-52.751084110702905,35.31739952370222,2.153994536068546,-59.13213116687501,22.859775285520577,-15.811446781951918,-72.06118735236763,-15.80306361079638,14.005928406306536,15.159177908450157,-2.0701180998656317,6.562244841899644,-46.29470914058395,-23.62793714735727,-14.769381587977449,-2.837824390161267,9.006907085227164,17.138130654684844,-18.103833394935652,-4.792479093837433,3.554923588710333,1.1649784790163897,-16.76015511142131,-30.409177397606005,6.251129058173669,5.808549761389892,-5.397149231062186,2.358698551797629e-14
isolate_27,10.43031438044848,-19.00659518948439,10.047153983326226,7.862670789170989,3.060665501804422,-13.017424054330077,19.352785873906413,2.60319816584816,11.034002199179318,-6.064016266231132,-6.231222848386924,1.5131227486921919,0.5100178602380617,7.154014125341128,-14.773506347176532,-3.494705445795831,-0.32549537647022353,-1.9328124054704159,3.2101927585483794,-3.8787484895872977,-2.418259304721849,-11.722498390209408,-2.7573555044852487,-4.117493736004888,-0.8973892006873567,11.949229509125663,0.8317684612562144,8.116666960053708,52.91338523382541,2.3586985517976253e-14
isolate_28,-13.467609790746247,50.90191922460101,30.786498340338223,-26.092753112810446,11.50363443178387,-9.618969219974037,36.30038335729909,35.39297034982896,7.1837156062593515,-21.79220896579138,-12.174673674529828,-27.366510964957055,-28.978928877153702,40.44937950303173,-30.60954550593206,2.6860828187453043,7.336174145801633,17.748403698238455,-19.816814284766114,4.658941048002341,-19.386542630210176,38.85076662494825,-8.683581541503516,19.296689534436783,35.06210925720608,-16.253861412402163,1.6628798941322716,-6.5649051408382375,0.22856914545784915,2.3586985517976253e-14
isolate_29,35.27567710673625,-50.78962635017601,13.084810065377305,12.017958981393143,-46.85261360343555,97.20395975226455,-20.984863980449937,81.43857465705108,4.345327464444584,39.84991827015538,13.495338541329287,-27.20303374418563,-8.248641142184592,7.791670942544805,-39.34666768849586,11.273029192294354,14.970532174704234,-4.61831030281423,20.40549197279223,22.382714928934412,0.20178343812628824,-13.982793712414528,5.229016843807401,2.1008518073496765,-6.351593081146629,6.79643080167373,-0.8379755408783661,4.353124799963507,-4.6871690269260515,2.358698551797628e-14
isolate_30,21.779727184390048,21.585134006890996,-37.5910642506381,-18.345895903827568,-57.09713974812297,31.97761005163836,100.99655971961825,-40.77566469267948,-33.92242746860408,42.74065385436615,-31.496984249339203,-31.55909747959812,-26.200421924612094,-10.059355844850204,19.579356231189497,-5.595495036496656,-16.654364006418287,-23.463452201122927,2.4378646813160456,-14.813548089919776,7.727850878633245,-10.917523998428578,13.821181499214855,-9.411865777242978,14.73989218000646,2.2137850216116646,12.35189389108964,-4.6978581390711485,-2.019317551737479,2.3586985517976285e-14
